Comment ID,Comment Text,Does the comment mention specific media content? 0 = No 1 = Yes,- If Y: what content?,- If Y: what is the general attitude toward this media content? 1=Positive/2=Neutral/3=Negative/4=Mixed/5=Unclear,"- - If positive, what does the author like about this content? ","- - If negative, what does the author dislike about this content? ",Does the comment mention gender or gender roles? 0 = No 1 = Yes,- If Y: How would you characterize the gender roles? 1= Women do domestic/care work; 2=Women have limited economic freedom; 3= Women have limited leadership; 4=Women are in subservient roles; 5=Women do not discuss sex or reproductive health; 5=Men are sexual aggressors; 6=Men are leaders; 7=Men are violent; 8=Men are primary breadwinners,- If Y: name any other gender themes and topics addressed in the comment: ,- If Y: What is the general attitude expressed toward discussed gender norms? 1=Positive/2=Neutral/3=Negative/4=Mixed/5=Unclear ,- If Y: What is the general attitude expressed toward women? 1=Positive/2=Neutral/3=Negative/4=Mixed/5=Unclear  ,"- If Y: Does the comment use collective framing (“we,” “our society,” “everyone knows”) or individual framing (“I,” “my experience”) in discussing gender/gender roles? 1 = Collective, 2 = Individual, 3 = Can't tell/Does not apply","- If Y: Does the comment contest or reproduce cultural stereotypes around gender? 0 = Contest, 1 = Reproduce, 3 = Unclear/Neither","Does the comment mention race, ethnicity, nationality, tribe, language, or caste in relation to the media content ? 0 = No 1 = Yes","- If Y,  which? _____","- If Y: What is the general attitude expressed toward this race, ethnicity, nationality, tribe, caste, or language? 1=Positive/2=Neutral/3=Negative/4=Mixed/5=Unclear  ","Does the comment include any sexist or derogatory language? 0= No, 1= Yes","- If Y,  provide a quote","What emotions does the comment generally contain? 1=Contempt, 2=Anger,  3=Disgust, 4=Sadness, 5=Shame, 6=Embarrassment, 7=Guilt, 8=Compassion, 9=Pride, 10=No emotion","What emotions does the author express toward the media content? 1=Contempt, 2=Anger,  3=Disgust, 4=Sadness, 5=Shame, 6=Embarrassment, 7=Guilt, 8=Compassion, 9=Pride, 10=No emotion",Does the comment indicate that the author acquired new knowledge or information by watching?  0 = No I = Yes,- If Y: what did they learn?,Did the comment indicate that the author had existing knowledge reinforced by watching? 0 = No 1 = Yes,- If Y: what knowledge or information was reinforced?,Are there any calls to action in the comment (telling readers to do something)?  0 = No 1 = Yes,"- If Y, what is it calling readers to do?","Does the author share any information in the comment (e.g., share a fact, a link)? 0 = No 1 = Yes","- If Y, what information is shared?","Does the author advocate for anything in the comment (e.g., support a cause)? 0 = No 1 = Yes","- If Y, what do they advocate for?","Does the author correct any information in the comment (e.g., say that something is incorrect)? 0 = No 1 = Yes","- If Y, what do they correct?","Does the comment's author identify themselves in any way (name their gender, profession, location, etc)?  0 = No 1 = Yes","- If Y,  is profession mentioned?  0 = No 1 = Yes","- - If Y, what is the profession?","- If Y, is location mentioned?  0 = No 1 = Yes","- - If Y, what is the location?","- If Y, is race/ethnicity mentioned?  0 = No 1 = Yes","- - If Y, what is the location?","- If Y, is gender mentioned?  0 = No 1 = Yes","- - If Y, what gender?        1=Female, 2=Male, 3=Non-binary                                                                                                                                                                                                ",Notes
1.82E+18,Nikimalizana na serikali sasa real housewives of nairobi watatuambia why they platform bullies and people with bad wigs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.82E+18,"@Create-d6i   we've heard you... protector of the oppressed, omuwanika, madam parliament, Mrs. Boniface mwangi, Madam Eric omondi, muteti....kama anakaa fossil, ata umpake mafuta aje hatanona",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.82E+18,"Such a flop..violent women, no class, forced drama plus not the real representation the ladies in Nairobi...I preffered the cast on Sn1. Dr.C is cool #RHONairobi #RealHouseWivesofNairobi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.99E+18,"Ronu made this possible. Even when most of the women under this thread threw them under the bus for their hypocritical non-Yoruba friends… even when they blocked them, saying they were “doing too much”… even with all the insults and slurs thrown at them, they still stood their ground and did what was right. The guilt will always be on you all.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.82E+18,"The other African Real Housewives show can cut from the #RHONairobi cloth. This week was the finale, and next week is part one of the reunion. Not this thing of having to wait at least 2 weeks for a reunion.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.82E+18,This thing of Farah always want to mediate yet they hate on her is sad… She needs to let these women be cause they never have her back when she’s in hot soup… #RHONairobi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.82E+18,I don’t understand why Zena actually went on that girl’s trip. Can she grow up honestly or like Rejah just go home. Some women just need to grow up because it’s giving jealous 6year old vibes #RHONairobi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.82E+18,"Minne, Dr C and Vera are such mean girls. Their sole mission is to get the new girls off the show so that they are seen as strong women who survived the show 🙄🙄 #RHONairobi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.82E+18,"@ShowmaxKenya Hio fala ilikua na pesa hapo 2019 karibu itukojolee juu sisi ni maskini... Nigga exchanges women on a regular, flaunting on a certain 2 seater area za kahawa.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.82E+18,"mimi and Dr C must go , they are not reality Queens , for 2 seasons and they are still doing same shit, can we have real women  #RHONairobi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.82E+18,"If we’re being honest, Dr. C is undoubtedly carrying the African real housewives franchise on her back. She’s a true housewife, she’s funny, delusional and knows how to provoke the girls and bring drama. She’s the true villain #RHONairobi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.82E+18,This wasn’t a good season compared to the first one. The girls lack class and self-control. Dr C had no choice but to single-handedly carry this show on her back. I don’t know a better housewife. I hope that they rethink their casting for the next season #RHONairobi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.82E+18,These women are behaving so badly. You can’t make being late part of your character like it’s a good thing. Some East Africans are well mannered but these one no #RHONairobi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,"Rejah is so pretty, had hope for her as a housewife💀 but from the get go she seemed so lost in this group &amp; looked distressed.
She never even mentioned that she's married👀.
Now with the husband suing the show clearly things ain't right at home...
#RHONairobi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,Honestly Dr. C is deliberately antagonizing these women to get a reaction…and it is so sick &amp; disgusting 🤮 And then Minne…a very pathetic friend tbh #RHONairobi https://t.co/BKygEHyRUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,"Looks like Rejah just came with a lot of drama. Her husband is suing her &amp; the show as she filmed in his house with their kids without his consent. To his knowledge, she withdrew from the show after surgery only to find out she continued to film without his consent 🙆🏽‍♀️#RHONairobi https://t.co/jXHGNdYkky",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,Dr C seems like a powerful and influential someone in Nairobi. She has contacts and plugs people. I suspect that’s why Minnie and Vera will keep fighting or gossiping about her but never ever cut ties with her. They never burn the bridge #RHONairobi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,These women all bluetoothed their hate for Dr C. I’m trying hard to think of what Dr C did to Rajah before the sniffing comments?? Child soldier comments are not that deep. She should have clarified and moved on .. #RHONairobi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,"Zena takes everything Dr C says to heart. Shame, she's not cut out for this group. She should have fun with the drama #RHONairobi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,"It is really not safe here , poor Farah is cut now #RHONairobi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,Minne had no problem with the cultural implications of Zena bringing Dr.C a gifts that portrayed her as a witch but Dr.C is wishing Zena death with that coffin? Cut the bs and double standards! #RHONairobi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,"Farah and Xenah's yellows looks are super cute. 

#RHONairobi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81E+18,"Gathoni ni cucu utonaga mbele, amepewa pesa na Kasongo Maringo ikamshika , we are waiting her to take that young man to court, if she is woman enough let her do it, Shame on her.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
