title,id,url,viewCount,date,likes,channelName,channelUrl,numberOfSubscribers,duration,days_since_upload,ReachFactor,EngagementEfficiency,VelocityFactor,ViralityScore
Made In Heaven Season 2 Star Cast Sobhita Dhulipala and Arjun Mathur with RJ Archana | Starring,XJDSN3AsQQs,https://www.youtube.com/watch?v=XJDSN3AsQQs,4903,8/9/23 15:47,43,Radio City India,https://www.youtube.com/@myradiocityindia,1550000,00:24:51,784,8.497806478,0.008770141,0.054846939,0.004087576
Why should you watch Made in Heaven Season 2 #amazonprime #shorts,UG7a38xB6i4,https://www.youtube.com/shorts/UG7a38xB6i4,211,8/14/23 10:21,11,Jharokha_e_hunar,https://www.youtube.com/@jharokha_e_hunar,2820,00:00:41,779,5.356586275,0.052132701,0.014120668,0.003943243
made in heaven season 2 review | made in heaven season 2 reaction | Amazon Prime,yGRoJS2bl6E,https://www.youtube.com/watch?v=yGRoJS2bl6E,796,8/9/23 22:34,19,Review box by Smit,https://www.youtube.com/@DrSmitMehta,7070,00:04:51,784,6.680854679,0.023869347,0.024234694,0.003864649
Biggest Wedding Album | Made In Heaven S2 | Prime Video India,spxXNWOKsUU,https://www.youtube.com/watch?v=spxXNWOKsUU,12317,8/8/23 06:30,63,Prime Video India,https://www.youtube.com/@PrimeVideoIN,35700000,00:00:45,786,9.418816886,0.005114882,0.080152672,0.003861446
What I would wear as the cast of Made In Heaven season 2! #madeinheaven,K20BVuCcT4Q,https://www.youtube.com/shorts/K20BVuCcT4Q,1239,9/8/23 15:12,22,Trisha Sood,https://www.youtube.com/@trishasood31,2,00:00:27,754,7.122866659,0.017756255,0.029177719,0.003690265
MADE IN HEAVEN SEASON 2 WEBSERIES REVIEW | CINEBUFF PRITAM | PRIME VIDEO,61dnSqZmKZQ,https://www.youtube.com/watch?v=61dnSqZmKZQ,55,8/13/23 13:13,6,CINEBUFF PRITAM,https://www.youtube.com/@CinebuffPritam,5250,00:06:20,780,4.025351691,0.109090909,0.007692308,0.003377918
Made in Heaven Season 2 (2023) Shashank Arora Shivani Raghuvanshi Natasha Rastogi Trailer Vertrailer,8hPkrEAFUzE,https://www.youtube.com/shorts/8hPkrEAFUzE,2795,8/1/23 13:59,30,Vertrailers,https://www.youtube.com/@vertrailer,5420,00:00:53,792,7.935945103,0.010733453,0.037878788,0.003226519
"Made In Heaven Season 2 UNEDITED Trailer Launch | Sobhita, Mona, Elnaaz, Arjun, Jim | Prime Video",qBkNah4wlRg,https://www.youtube.com/watch?v=qBkNah4wlRg,2213,8/1/23 10:15,27,Movie Talkies,https://www.youtube.com/@movietalkies,7130000,00:15:01,792,7.702556113,0.012200633,0.034090909,0.003203729
[Amazon Prime] OTT Movies  Releasing on Aug 11th| Maaveeran | Mahaveerudu |Made in Heaven S2 OTT Upd,9kMWvFM8cZs,https://www.youtube.com/shorts/9kMWvFM8cZs,123,8/9/23 14:30,8,Info Video By Rama,https://www.youtube.com/@infovideobyrama,29000,00:00:33,784,4.820281566,0.06504065,0.010204082,0.003199125
Made In Heaven Season 2 Ending Explained | Recap & Hidden Details,iRJu_KH2TRg,https://www.youtube.com/watch?v=iRJu_KH2TRg,7618,8/11/23 07:33,45,Film Fugitives,https://www.youtube.com/@filmfugitives,25200,00:16:11,782,8.938400406,0.005907062,0.057544757,0.003038345
