id,text,retweetCount,replyCount,likeCount,quoteCount,createdAt,bookmarkCount,isRetweet,isQuote
1943602762287100322,Farah Esmail confirms split from boyfriend she introduced on Real Housewives of Nairobi https://t.co/48U8I8cmB8 #Farahesmail #RealhousewivesofNairobi #RHONairobi https://t.co/1yMXGlAEZc,0,0,1,0,Fri Jul 11 09:26:23 +0000 2025,0,FALSE,FALSE
1943601715552330169,Real Housewives Farah Esmail on how husband's bipolar battle destroyed their marriage https://t.co/w9QKPy9DyK #Farahesmail #RealhousewivesofNairobi #RHONairobi https://t.co/pICOFnB4r6,0,0,1,0,Fri Jul 11 09:22:14 +0000 2025,0,FALSE,FALSE
1943600543965827475,Farah Esmail opens up about freezing her eggs for 11 years at prestigious Johns Hopkins Hospital https://t.co/pw5hEoD57h #Farahesmail #RealhousewivesofNairobi #RHONairobi #Johnshopkinshospital https://t.co/J711C2kfcR,0,0,1,0,Fri Jul 11 09:17:34 +0000 2025,0,FALSE,FALSE
1943568122033713540,https://t.co/8dvKcQKrjH #Farahesmail #RealhousewivesofNairobi #RHONairobi https://t.co/LKUg3Au1z0,0,0,0,0,Fri Jul 11 07:08:44 +0000 2025,0,FALSE,FALSE
1941412172057207089,Is this the moment you never skip? 🤔 #RHONairobi inastream on Showmax 🎥🍿 https://t.co/mCgpqzFVNV https://t.co/qCUtySyKBk,2,1,1,0,Sat Jul 05 08:21:46 +0000 2025,0,FALSE,FALSE
1940767466939957404,"Bills is here, who is the boss babe? 🤭 #RHONairobi #RHOA #RHOLagos zinastream on Showmax 🎥🍿  https://t.co/qtqsVZQM41 https://t.co/wLNiWsSsJY",2,1,3,0,Thu Jul 03 13:39:56 +0000 2025,0,FALSE,FALSE
1939302006104961398,@ShowmaxOnline  When are we getting Season 3 of #RHONairobi kanti???,0,1,0,0,Sun Jun 29 12:36:43 +0000 2025,0,FALSE,FALSE
1938321356988260377,Zenah shouldn't have come to this trip mos. #RHONairobi,0,0,0,0,Thu Jun 26 19:39:58 +0000 2025,0,FALSE,FALSE
1936744641438621949,I know I'm a year late but #RHONairobi Zena should have never come on the trip! And Rejah is too messy for this show.,0,0,0,0,Sun Jun 22 11:14:40 +0000 2025,0,FALSE,FALSE
1936060445640868110,Whoever supplies Pierra with wigs might be the same supplier Dr C used on #RHONairobi 😭😭😭✋🏽 #MommyClubNBO https://t.co/WC8ToXAeEq,1,3,28,1,Fri Jun 20 13:55:55 +0000 2025,0,FALSE,FALSE
1935664652886663419,Which housewife era are you in? 🤔 Tuchapie kwa comment then stream #RHONairobi #RHOLagos #RHOJohannesburg on Showmax 🍿🎥 https://t.co/qtqsVZQM41 https://t.co/dctLnL3AW0,1,0,0,1,Thu Jun 19 11:43:10 +0000 2025,0,FALSE,FALSE
1934513891016429678,Time for Kenyan binge? 🤩 How many done? 🤔 #RHONairobi #JijiShowmax #SingleKiasi zinastream on Showmax 🎥🍿 https://t.co/EOQzlGdAmw https://t.co/8i0Dk0hSWm,6,1,5,2,Mon Jun 16 07:30:27 +0000 2025,1,FALSE,FALSE
1931658832708604074,War of the wardrobes.Who leads? 🤔 #RHOA #RHOLagos #RHONairobi zinastream on Showmax 🎥🍿 https://t.co/Q9NQpe0lLj https://t.co/dUQevIw774,1,0,2,0,Sun Jun 08 10:25:28 +0000 2025,0,FALSE,FALSE
1929142030807994743,@ShowmaxOnline when do we get a new season of #rhoNairobi ?,0,1,0,0,Sun Jun 01 11:44:36 +0000 2025,0,FALSE,FALSE
1927626618412892478,You both love drama. 🤭 Pick one then stream #RHONairobi #Nairich #NairobiBachelor on Showmax 🎥🍿 https://t.co/Pm1XCBOOsc https://t.co/UhXNjGNZXf,1,1,0,0,Wed May 28 07:22:54 +0000 2025,0,FALSE,FALSE
1926259705778774135,"S1 of #rhonairobi is so funny , ohh the reunion was such a bliss to watch 😭🤭",0,0,0,0,Sat May 24 12:51:16 +0000 2025,0,FALSE,FALSE
1925843252080529430,Which show do you keep rewatching? 🤩 Drop your comment then stream #JijiShowmax #RHONairobi #Nairich on Showmax 🎥🍿https://t.co/RjBG314PVx https://t.co/ChQZRs66CD,0,0,0,0,Fri May 23 09:16:26 +0000 2025,0,FALSE,FALSE
1924406514543956160,"Which city is calling your name? #RHODurban #RHONairobi #RHOLagos #UltimateGirlsTripSA 
https://t.co/2tgfZbroJk https://t.co/scPjllFZpF",0,0,0,0,Mon May 19 10:07:21 +0000 2025,0,FALSE,FALSE
1922245644065890432,"You and your BFF will love them! Watch them on Showmax. 🥰🥂 https://t.co/vC64N3lUC2 
#RHONairobi #SingleKiasi #TheEqualizer #TheRookie https://t.co/QSIVYz4Su9",1,1,3,1,Tue May 13 11:00:49 +0000 2025,0,FALSE,FALSE
1921921213405770028,"Tell us who your favourites are! 😍🥂 https://t.co/l17u1I0oIR 
#RealHousewives #RHONairobi https://t.co/WgrfFAfaxZ",1,0,0,0,Mon May 12 13:31:39 +0000 2025,0,FALSE,FALSE
1921538004532806050,Time to pick your TV mom for today! 🤩 Who made the list? 🤔 Tushow kwa comment then stream #RHONairobi #Kina #Selina on Showmax 🎥🍿 https://t.co/94sZ49GH7c https://t.co/bl7r48GQgl,0,2,0,0,Sun May 11 12:08:55 +0000 2025,0,FALSE,FALSE
1919693692731797609,Which look would you rock on your first date? 🤭 #Nairich #RHONairobi #RHOLagos zinastream on Showmax 🎥🍿 https://t.co/qJdVfzpBFO https://t.co/y2Qyc2FWGL,0,0,1,0,Tue May 06 10:00:17 +0000 2025,0,FALSE,FALSE
1917698999458427360,"@miss_nicky_posh Listennnn😂 Reminds me of #RHONairobi gent that sued a cast member for going on that show and banned production from saying the kids’ names and shoot in their house. She was crashing out , was accused of using substances we can’t name in the b/room at an event by 1 of the ladies",0,0,0,0,Wed Apr 30 21:54:05 +0000 2025,0,FALSE,FALSE
1917624998799499411,"Real drama, bestie beef, and unreal shade 🔥The Real Housewives on Showmax is your perfect binge fix 🎬 #RHOLagos #RHODurban #RHONairobi https://t.co/v1GHDcrQgJ",1,0,1,0,Wed Apr 30 17:00:02 +0000 2025,0,FALSE,FALSE
1916890793891037494,@ShowmaxOnline when are we getting Season 3 of #RHONairobi?,0,1,0,0,Mon Apr 28 16:22:34 +0000 2025,0,FALSE,FALSE
